"data_set1","data_set2","cor","p","p_adjust","level"
"Mn","family_Lachnospiraceae",-0.553642010163749,9.68568014963601e-05,0.00071525022643466,"family"
"Na","genus_unclassified_Coriobacteriaceae",-0.574534161490683,4.53491948389896e-05,0.000725587117423834,"genus"
"Disacc","family_Ruminococcaceae",0.539949181253529,0.000155060604401541,0.000744290901127394,"family"
"SatFat","phylum_Actinobacteria",-0.577922077922078,3.99021725432463e-05,0.00076612171283033,"phylum"
"SatFat","class_Actinobacteria",-0.577922077922078,3.99021725432463e-05,0.00076612171283033,"class"
"SolFib","genus_Clostridium.XlVb",-0.572134387351779,4.96094417979056e-05,0.000793751068766489,"genus"
"TotSolFib","genus_Phascolarctobacterium",0.57161811315646,5.05724250747875e-05,0.0008091588011966,"genus"
"VitD_IU","family_Clostridiales_Incertae.Sedis.XIII",-0.589428248730286,2.55610793566111e-05,0.000817954539411554,"family"
"Biot","genus_Barnesiella",0.589181816016822,2.58106608135164e-05,0.000825941146032524,"genus"
"VitB12","order_Lactobacillales",-0.56931112365895,5.50875154680193e-05,0.000881400247488309,"order"
"Energy","genus_Coprococcus",-0.579757199322417,3.72080248022976e-05,0.000892992595255142,"genus"
"Mn","genus_Faecalibacterium",0.544466403162055,0.000133062406136607,0.000912427927793875,"genus"
"VitB2","genus_unclassified_Porphyromonadaceae",-0.567978209769105,5.78608965948123e-05,0.000925774345516998,"genus"
"Folate","genus_Veillonella",-0.578769057029927,3.86373139255542e-05,0.000927295534213301,"genus"
"Fe","genus_Erysipelotrichaceae_incertae_sedis",-0.552392029313907,0.000101194435566225,0.000971466581435755,"genus"
"TotFib","phylum_Verrucomicrobia",0.571569734613213,5.06635321182458e-05,0.00097273981667032,"phylum"
"TotFib","class_Verrucomicrobiae",0.571569734613213,5.06635321182458e-05,0.00097273981667032,"class"
"TotFib","order_Verrucomicrobiales",0.571569734613213,5.06635321182458e-05,0.00097273981667032,"order"
"TotFib","family_Verrucomicrobiaceae",0.571569734613213,5.06635321182458e-05,0.00097273981667032,"family"
"TotFib","genus_Akkermansia",0.571569734613213,5.06635321182458e-05,0.00097273981667032,"genus"
"Zn","phylum_Bacteroidetes",0.553359683794466,9.78214637735959e-05,0.00104342894691836,"phylum"
"Zn","class_Bacteroidia",0.553359683794466,9.78214637735959e-05,0.00104342894691836,"class"
"Zn","order_Bacteroidales",0.553359683794466,9.78214637735959e-05,0.00104342894691836,"order"
"Zn","genus_Faecalibacterium",0.562252964426877,7.12812983919771e-05,0.00104342894691836,"genus"
"Chln","genus_Clostridium.IV",-0.594579333709768,2.08245576111544e-05,0.00105174612824025,"genus"
"Chln","genus_Dorea",-0.593308865047996,2.19113776716719e-05,0.00105174612824025,"genus"
"SolFib","genus_Lachnospiracea_incertae_sedis",-0.560135516657256,7.69235932724873e-05,0.0010549521363084,"genus"
"SolFib","genus_unclassified_Coriobacteriaceae",0.55561829474873,9.03427355673976e-05,0.00108411282680877,"genus"
"VitB6","genus_Barnesiella",-0.592164295982196,2.29347593898809e-05,0.00110086845071428,"genus"
"VitB2","genus_Ruminococcus",-0.558788924941108,8.07203021045914e-05,0.00110702128600583,"genus"
"Folate","order_Lactobacillales",-0.567899491812535,5.80285994840134e-05,0.00111414911009306,"order"
"SatFat","order_Coriobacteriales",-0.556324110671937,8.81146415770934e-05,0.00112306497523045,"order"
"SatFat","family_Acidaminococcaceae",0.554617854817052,9.3588747935871e-05,0.00112306497523045,"family"
"SatFat","family_Coriobacteriaceae",-0.556324110671937,8.81146415770934e-05,0.00112306497523045,"family"
"VitC","class_Erysipelotrichia",0.557312252964427,8.50792661269046e-05,0.00116680136402612,"class"
"VitC","order_Erysipelotrichales",0.557312252964427,8.50792661269046e-05,0.00116680136402612,"order"
"VitC","family_Erysipelotrichaceae",0.557312252964427,8.50792661269046e-05,0.00116680136402612,"family"
"VitB12","phylum_Actinobacteria",-0.534443817052513,0.00018630202039751,0.00118146821721584,"phylum"
"VitB12","class_Actinobacteria",-0.534443817052513,0.00018630202039751,0.00118146821721584,"class"
"VitB12","class_Bacilli",-0.554912478825522,9.26219668003504e-05,0.00118146821721584,"class"
"VitB12","class_Erysipelotrichia",-0.539666854884246,0.000156539184936692,0.00118146821721584,"class"
"VitB12","order_Coriobacteriales",-0.530914737436477,0.000209218330131971,0.00118146821721584,"order"
"VitB12","order_Erysipelotrichales",-0.539666854884246,0.000156539184936692,0.00118146821721584,"order"
"VitB12","family_Coriobacteriaceae",-0.530914737436477,0.000209218330131971,0.00118146821721584,"family"
"VitB12","family_Erysipelotrichaceae",-0.539666854884246,0.000156539184936692,0.00118146821721584,"family"
"VitB12","family_Peptostreptococcaceae",-0.532749858836815,0.000197001862973663,0.00118146821721584,"family"
"VitB12","genus_Clostridium.XI",-0.532749858836815,0.000197001862973663,0.00118146821721584,"genus"
"VitB12","genus_Coprococcus",-0.534020327498588,0.000188926467898016,0.00118146821721584,"genus"
"Retinol","class_unclassified_Firmicutes",0.521315640880858,0.000285016743332569,0.00118963510260551,"class"
"Retinol","order_Coriobacteriales",-0.528373800112931,0.000227265172833906,0.00118963510260551,"order"
"Retinol","order_unclassified_Firmicutes",0.521315640880858,0.000285016743332569,0.00118963510260551,"order"
"Retinol","family_Coriobacteriaceae",-0.528373800112931,0.000227265172833906,0.00118963510260551,"family"
"Retinol","family_unclassified_Firmicutes",0.521315640880858,0.000285016743332569,0.00118963510260551,"family"
"Retinol","genus_Erysipelotrichaceae_incertae_sedis",-0.530488533651677,0.000212151866310002,0.00118963510260551,"genus"
"Retinol","genus_unclassified_Coriobacteriaceae",-0.526962168266516,0.000237888384800102,0.00118963510260551,"genus"
"Retinol","genus_unclassified_Firmicutes",0.521315640880858,0.000285016743332569,0.00118963510260551,"genus"
"TotSolFib","genus_unclassified_Porphyromonadaceae",0.555369280844889,9.11409633033282e-05,0.00124993321101707,"genus"
"Retinol","phylum_Actinobacteria",-0.516092603049125,0.00033594514687334,0.00129002936399363,"phylum"
"Retinol","class_Actinobacteria",-0.516092603049125,0.00033594514687334,0.00129002936399363,"class"
